platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
Shopee,758395205,get_category,100017,0,Women Clothes,Thời Trang Nữ,True,
Shopee,758395205,get_category,100118,100017,Socks & Stockings,Vớ/ Tất,True,
Shopee,758395205,get_category,100419,100118,Others,Khác,False,
Shopee,758395205,get_category,100418,100118,Pantyhose,Quần tất,False,
Shopee,758395205,get_category,100417,100118,Socks,Tất,False,
Shopee,758395205,get_category,100117,100017,Fabric,Vải,True,
Shopee,758395205,get_category,100416,100117,Others,Khác,False,
Shopee,758395205,get_category,100413,100117,Canvas,Vải canvas,False,
Shopee,758395205,get_category,100412,100117,Denim,Vải denim,False,
Shopee,758395205,get_category,100411,100117,Vinyl & Nylon,Vải nylon,False,
Shopee,758395205,get_category,100410,100117,Leather,Vải da,False,
Shopee,758395205,get_category,100409,100117,"Velvet, Silk & Satin","Vải nhung, lụa, satin",False,
Shopee,758395205,get_category,100408,100117,Wool,Vải len,False,
Shopee,758395205,get_category,100407,100117,Cotton,Vải cotton,False,
Shopee,758395205,get_category,100116,100017,Others,Khác,False,
Shopee,758395205,get_category,100115,100017,Costumes,Đồ hóa trang,False,
Shopee,758395205,get_category,100114,100017,Traditional Wear,Đồ truyền thống,True,
Shopee,758395205,get_category,100404,100114,Others,Khác,False,
Shopee,758395205,get_category,100403,100114,Dresses,Đầm,False,
Shopee,758395205,get_category,100402,100114,Sets,Bộ,False,
Shopee,758395205,get_category,100401,100114,Bottoms,Quần và chân váy,False,
Shopee,758395205,get_category,100400,100114,Tops,Áo,False,
Shopee,758395205,get_category,100113,100017,Maternity Wear,Đồ Bầu,True,
Shopee,758395205,get_category,100399,100113,Others,Khác,False,
Shopee,758395205,get_category,100398,100113,Maternity Bottoms,"Quần bầu, Váy bầu",False,
Shopee,758395205,get_category,100397,100113,Maternity Sets,Bộ đồ bầu,False,
Shopee,758395205,get_category,100396,100113,Breastfeeding Wear,Đồ mặc cho con bú,False,
Shopee,758395205,get_category,100395,100113,Maternity Tops,Áo bầu,False,
Shopee,758395205,get_category,100394,100113,Maternity Dresses,Đầm bầu,False,
Shopee,758395205,get_category,100393,100113,Nursing Bras,Áo ngực cho con bú,False,
Shopee,758395205,get_category,100112,100017,Sleepwear & Pajamas,Đồ ngủ,True,
Shopee,758395205,get_category,100392,100112,Others,Khác,False,
Shopee,758395205,get_category,100391,100112,Kimonos & Robes,"Áo choàng ngủ, Áo khoác kimono",False,
Shopee,758395205,get_category,100390,100112,Night Dresses,Váy ngủ,False,
Shopee,758395205,get_category,100389,100112,Pajamas,Pyjama,False,
Shopee,758395205,get_category,100111,100017,Lingerie & Underwear,Đồ lót,True,
Shopee,758395205,get_category,100388,100111,Others,Khác,False,
Shopee,758395205,get_category,100387,100111,Sexy Lingerie,Đồ lót gợi cảm,False,
Shopee,758395205,get_category,100386,100111,Safety Pants,Đồ lót bảo hộ,False,
Shopee,758395205,get_category,100385,100111,Shapewear,Đồ định hình,False,
Shopee,758395205,get_category,100384,100111,Bra Accessories,Phụ kiện đồ lót,True,
Shopee,758395205,get_category,100526,100384,Others,Khác,False,
Shopee,758395205,get_category,100525,100384,Nipple Stickers,Miếng dán ngực,False,
Shopee,758395205,get_category,100524,100384,Paddings,Miếng mút rời,False,
Shopee,758395205,get_category,100523,100384,Straps,Dây áo lót,False,
Shopee,758395205,get_category,100383,100111,Thermal Innerwear,Đồ lót giữ nhiệt,False,
Shopee,758395205,get_category,100382,100111,Panties,Quần lót,False,
