product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1112776376:23763960215,id,1112776376,23763960215,SCORA D-Panthenol Gentle Low pH Cleanser 100ml Sabun Cuci Muka Sensitive Skin Friendly,2026-07-03,,"[""""]",1
id:1112776376:24122148904,id,1112776376,24122148904,IRIT BEBAS KERING SCORA D-Panthenol Gentle Low pH Cleanser Sabun Cuci Muka Sensitive Skin Friendly [TwinPack 2 Pcs],2026-07-03,,"[""""]",1
id:1112776376:24422151156,id,1112776376,24422151156,IRIT BEBAS JERAWAT-SCORA Salicylic Acid Gentle Low pH Cleanser Sabun Cuci Muka Oily Acne Prone Skin Friendly [TwinPack 2 Pcs],2026-07-03,,"[""""]",1
id:1112776376:25190984781,id,1112776376,25190984781,[READY] SCORA Sheer Glow Tone Up Cream 30 Gr | Day Cream Bright Cream,2026-07-03,,"[""""]",1
id:1112776376:25666019829,id,1112776376,25666019829,[Hero] SCORA Salicylic Acid Gentle Low pH Cleanser Sabun Cuci Muka Oily Acne Prone Skin Friendly,2026-07-03,,"[""""]",1
id:1112776376:25815711335,id,1112776376,25815711335,SCORA Salicylic Acid Gentle Low pH Cleanser Sabun Cuci Muka Oily Acne Prone Skin Friendly 100 ml,2026-07-03,,"[""""]",1
id:1112776376:26474964451,id,1112776376,26474964451,[READY] PAKET DOUBLE CERAH EFFORTLESS-SCORA Sheer Glow Tone Up Cream 30gr 2pcs,2026-07-03,,"[""""]",1
id:1112776376:26529374700,id,1112776376,26529374700,PAKET MORNING BASIC SKINCARE-SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML + SCORA Gentle Low pH Cleanser,2026-07-03,Bundle Set,"[""Clear Skin Duo"", ""Calm Skin Duo""]",2
id:1112776376:26529379083,id,1112776376,26529379083,[Live] PAKET CERAH IRIT-SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML 3 PCS Melembapkan Untuk Oily Skin,2026-07-03,,"[""""]",1
id:1112776376:26888332624,id,1112776376,26888332624,[Hero] PAKET DOUBLE CERAH EFFORTLESS-SCORA Glow Tone Up Cream Series 30gr 2pcs,2026-07-03,Variant,"[""Sheer Glow"", ""Honey Glow""]",2
id:1112776376:26962670206,id,1112776376,26962670206,[Live] SCORA D-Panthenol Gentle Low pH Cleanser Sabun Cuci Muka Sensitive Skin Friendly 100ML,2026-07-03,,"[""""]",1
id:1112776376:27160418327,id,1112776376,27160418327,"2,5% D-PANTHENOL BARRIER SHIELD MOISTURIZER 40ml 2 PCS[TWINPACK]",2026-07-03,,"[""""]",1
id:1112776376:28288332943,id,1112776376,28288332943,[Live] RUMUS GLOWING MTS: SCORA Bright Me Up Sunscreen 40 Gr + SCORA Sheer Glow Tone Up Cream 30 ml + SCORA Moisturizer 40ml,2026-07-03,Bundle Set,"[""Niacinamide"", ""D-Panthenol""]",2
id:1112776376:28360413045,id,1112776376,28360413045,"2,5% D-PANTHENOL BARRIER SHIELD MOISTURIZER 40ml Melembapkan Kulit Menjaga Skin Barrier",2026-07-03,,"[""""]",1
id:1112776376:28581613018,id,1112776376,28581613018,[Hero] SCORA Tone Up Cream Series 30 Gr Tone Up Viral Mencerahkan Secara Natural,2026-07-03,Variant,"[""Sheer Glow"", ""Honey Glow""]",2
id:1112776376:28929378442,id,1112776376,28929378442,"[Live] KULIT LEMBAP SEPANJANG HARI-SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML + 2,5% D-PANTHENOL BARRIER SHIELD MOISTURIZER 40ml",2026-07-03,Bundle Set,"[""Niacinamide"", ""D-Panthenol""]",2
id:1112776376:29978594764,id,1112776376,29978594764,[NEW PACKAGING] SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML Mencerahkan Melembapkan Kulit,2026-07-03,,"[""""]",1
id:1112776376:29986754514,id,1112776376,29986754514,RUMUS GLOWING MTS: SCORA Bright Me Up Sunscreen 40 Gr + SCORA Sheer Glow Tone Up Cream 30 ml + SCORA Moisturizer 40ml,2026-07-03,Bundle Set,"[""Sheer & Niacinamide"", ""Sheer & D-Panthenol"", ""Honey & Niacinamide"", ""Honey & D-Panthenol""]",4
id:1112776376:40057172138,id,1112776376,40057172138,[Live] SCORA Bright Me Up Sunscreen 40 Gr + SCORA Sheer Glow Tone Up Cream 30 mL,2026-07-03,,"[""""]",1
id:1112776376:41126782175,id,1112776376,41126782175,4-Step Bundle: Scora Cleanser 100ml + Scora Toner Series 80 ml + Scora Serum Series 20ml + Scora Moisturizer series,2026-07-03,Bundle Set,"[""4 Pcs - Acne"", ""4 Pcs - Brightening"", ""4 Pcs - Hydrating""]",3
id:1112776376:41357286968,id,1112776376,41357286968,[Hero] SCORA 5% Niacinamide Hydramoist Gel with Alpha Arbutin & Panthenol 45ML Mencerahkan Melembapkan Kulit,2026-07-03,,"[""""]",1
id:1112776376:41431071722,id,1112776376,41431071722,SCORA Barrier Healthy Glow Bundle: SCORA 5% D-Panthenol Barrier Water Gel Moisturizer 40ML + SCORA D-Panthenol Gentle Low pH Cleanser 100ml + SCORA Phytobright Milky Toner 80 ML + SCORA Bright Me Up Sunscreen 40 ml + SCORA Honey Glow Tone Up C,2026-07-03,Variant,"[""1 Pcs 5% D-Panthenol"", ""MTS 5% Sheer glow"", ""MTS 5% Honey"", ""Barrier Bright Kit"", ""Daily Barrier Glow""]",5
id:1112776376:42415729992,id,1112776376,42415729992,[Glowing Set] SCORA Bright Me Up Sunscreen 40 Gr + SCORA Gentle and Soothe Micellar Cleansing Water 100ML + Scora Sheer Glow Tone Up Cream 30 mL + SCORA Gentle Low pH Cleanser 100ml,2026-07-03,Bundle Set,"[""Salicylic Cleanser"", ""Micellar Water""]",2
id:1112776376:42657274673,id,1112776376,42657274673,"[Hero] 2,5% D-PANTHENOL BARRIER SHIELD MOISTURIZER 40ml Melembapkan Kulit Menjaga Skin Barrier",2026-07-03,,"[""""]",1
id:1112776376:42807278779,id,1112776376,42807278779,[Hero] SCORA Bright Me Up Sunscreen 40 gr Sunblock Mencerahkan Melindungi UV Menyerap Cepat Glowing Sepanjang Hari,2026-07-03,,"[""""]",1
