platform,key,country_code,date,shop_id,shop_slug,shop_name,location,item_id,product_name,url,image_url,images,seller_flag,seller_flag_hash,image_overlay,image_overlay_hash,is_ad,is_sold_out,shopee_verified,ctime,price,price_original,price_before_promo,discount_percent,promotion_id,voucher_code,voucher_discount,voucher_start_time,voucher_end_time,voucher_min_spend,history_sold_value,monthly_sold_value,rating,rating_count,rating_count_detail,vouchers,brand,brand_id,catid,global_catids,liked_count,tier_variation_name,tier_variation_options
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,19391572774,MOOI Brightening Tone Up Booster Body Lotion,https://shopee.co.id/product/430940247/19391572774,https://down-id.img.susercontent.com/file/id-11134207-8224q-mg4v9420ms5p76,"[""https://down-id.img.susercontent.com/file/id-11134207-8224q-mg4v9420ms5p76"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0u-md1imgqwjago8e"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-md4cczaz900ze2"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0i-md4cczazaelf5f"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0i-md4cczaz7lgj34"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-md4cczazbt5v18"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-md4cczaz66w3de""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1691243400,85000,85000,85000,,0,,,,,,10000.0,1000.0,4.782886916053317,39565,"[244, 270, 1197, 4404, 33450]","[""Pilih Lokal""]",Mooi Pure Glow,2937947.0,100630,"[100630, 102002, 102007]",64500,MOOI TONE UP,"[""Tone Up Booster"", ""Double Booster""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KOTA BEKASI,24780819359,MOOI Triple Brightening Tone Up Booster Body Lotion (3pcs),https://shopee.co.id/product/430940247/24780819359,https://down-id.img.susercontent.com/file/id-11134207-82251-mg94qzo2dlho05,"[""https://down-id.img.susercontent.com/file/id-11134207-82251-mg94qzo2dlho05"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0l-mdgyr1b9pytq2f"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-md43ega2m9ev10"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-md4cczayxrfrdc"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mdgyr1b9rde615"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0i-md43ega2kuuf57"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0h-md4cczayxrhfe0"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0n-md43ega2nnzb79""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1715832798,235000,235000,235000,,0,,,,,,10000.0,780.0,4.823219691983677,7613,"[53, 37, 141, 738, 6644]","[""Pilih Lokal""]",Mooi Pure Glow,2937947.0,100630,"[100630, 102002, 102007]",9821,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,29219666255,MOOI Double Brightening Tone Up Booster Body Lotion (2 pcs),https://shopee.co.id/product/430940247/29219666255,https://down-id.img.susercontent.com/file/id-11134207-82251-mg94qzo22cy4c2,"[""https://down-id.img.susercontent.com/file/id-11134207-82251-mg94qzo22cy4c2"", ""https://down-id.img.susercontent.com/file/id-11134207-7rasa-m3dmyzgg49ane2"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0n-md4cczaz4sbnbb"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0o-md4cczaz0kmb93"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0u-md4cczaz3dr7a7"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0m-md4cczaz1z6r1b"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0h-md4cczayz61v57""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1733296315,160000,160000,160000,,0,,,,,,8000.0,444.0,4.842065868263473,2672,"[13, 8, 56, 234, 2361]","[""Pilih Lokal""]",,,100630,"[100630, 102002, 102007]",2878,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,13891549078,SPECIAL LAUNCHING MOOI Gloowe Milky Serum - Serum Wajah Mencerahkan Mooi Pure Glow Skincare Korea Memudarkan Jerawat Kusam Laki-Laki Pencerah,https://shopee.co.id/product/430940247/13891549078,https://down-id.img.susercontent.com/file/id-11134207-822wj-mn3pkizhjdhk79,"[""https://down-id.img.susercontent.com/file/id-11134207-822wj-mn3pkizhjdhk79"", ""https://down-id.img.susercontent.com/file/id-11134207-822wp-mlcvd9l3cgzo82"", ""https://down-id.img.susercontent.com/file/id-11134207-822wp-mlcvd9kvrytcbf"", ""https://down-id.img.susercontent.com/file/id-11134207-822wl-mlcvd9kvtddse7""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1652169068,79000,79000,79000,,0,,,,,,1000.0,172.0,4.882352941176471,442,"[1, 3, 5, 29, 404]","[""Pilih Lokal""]",Mooi Pure Glow,2937947.0,100630,"[100630, 100664, 100896]",880,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,16467668419,MOOI Gloowe Milky Serum DAPAT 2 - Serum Wajah Mencerahkan Mooi Pure Glow Skincare Korea Memudarkan Jerawat Kusam Laki-Laki Pencerah,https://shopee.co.id/product/430940247/16467668419,https://down-id.img.susercontent.com/file/id-11134207-822wj-mlcvd9l7oe0yc6,"[""https://down-id.img.susercontent.com/file/id-11134207-822wj-mlcvd9l7oe0yc6"", ""https://down-id.img.susercontent.com/file/id-11134207-822ws-mlcvd9l7r75ufc"", ""https://down-id.img.susercontent.com/file/id-11134207-822wq-mlcvd9l7slqab8"", ""https://down-id.img.susercontent.com/file/id-11134207-822wh-mlcvd9l7pslece"", ""https://down-id.img.susercontent.com/file/id-11134207-822wn-mlcvd9l7u0aqec""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1652754839,117000,117000,117000,,0,,,,,,1000.0,41.0,4.855450236966824,422,"[1, 1, 6, 42, 372]",[],Mooi Pure Glow,2937947.0,100630,"[100630, 100664, 100896]",378,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,24508692143,MOOIST Tone Up Booster - Moisturizer With UV Protection,https://shopee.co.id/product/430940247/24508692143,https://down-id.img.susercontent.com/file/id-11134207-8224s-mgw0z6lv8bnz16,"[""https://down-id.img.susercontent.com/file/id-11134207-8224s-mgw0z6lv8bnz16"", ""https://down-id.img.susercontent.com/file/id-11134207-8224z-mg94qzo23rikb6"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk4-maiamo3tuoj86b"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk7-maiamo3tw33oe9"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk0-maiamo3tyw8k56"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk7-maiamo3u1pdg12"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbkd-maiamo3u0at050"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbka-maiamo3u33xwd4""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1705385012,44900,75000,44900,40,865673199273984,,,,,,4000.0,121.0,4.856952761144378,1503,"[8, 6, 25, 115, 1349]","[""Pilih Lokal""]",Mooi Pure Glow,2937947.0,100630,"[100630, 100664, 100893]",3805,MOOIST,"[""MOOIST BELI 1"", ""MOOIST BELI 2"", ""MOOIST BELI 3"", ""1 MOOIST + 1 TONE UP"", ""2 MOOIST + 1 LOTION""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,26162758938,"MOOI Gloowe Milky Serum DAPAT 4 - Serum Wajah Mencerahkan,  Memudarkan Jerawat Kusam Laki-Laki Pencerah",https://shopee.co.id/product/430940247/26162758938,https://down-id.img.susercontent.com/file/id-11134207-822wo-mld5r3h5fj7mc8,"[""https://down-id.img.susercontent.com/file/id-11134207-822wo-mld5r3h5fj7mc8"", ""https://down-id.img.susercontent.com/file/id-11134207-822wq-mld5r3h808ozfa"", ""https://down-id.img.susercontent.com/file/id-11134207-822wj-mld5r3h7w0zn02"", ""https://down-id.img.susercontent.com/file/id-11134207-822wq-mld5r3h7xfk35a"", ""https://down-id.img.susercontent.com/file/id-11134207-822wr-mld5r3h7yu4j1f""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1727664559,276000,276000,276000,,0,,,,,,573.0,9.0,4.926605504587156,218,"[0, 0, 2, 12, 204]","[""Pilih Lokal""]",,,100630,"[100630, 100664, 100896]",199,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,25128378434,MOOI Collagen Drink with Zizania latifolia Extract - Minuman kolagen Glutathione Pencerah,https://shopee.co.id/product/430940247/25128378434,https://down-id.img.susercontent.com/file/id-11134207-82252-mgw0z6lv43ynbb,"[""https://down-id.img.susercontent.com/file/id-11134207-82252-mgw0z6lv43ynbb"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-md1hd22d1p44a9"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0s-md1hd22d0ajo81"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0o-md1hd22cyvz866"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0r-md1hd22d33okaa"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0k-md1hd22cw2uc97"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0r-md1hd22cxhesca""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1714796501,104700,398000,104700,74,865673434155008,,,,,,1000.0,94.0,4.872458410351202,541,"[1, 1, 9, 44, 486]",[],,,100001,"[100001, 100002, 100004]",1902,1 BOX,"[""1 BOX"", ""2 BOX"", ""3 BOX""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,15561224055,MOOI Gloowe Milky Serum DAPAT 3 - Serum Wajah Mencerahkan Mooi Pure Glow Skincare Korea Memudarkan Jerawat Kusam Laki-Laki Pencerah,https://shopee.co.id/product/430940247/15561224055,https://down-id.img.susercontent.com/file/id-11134207-822wg-mlcvd9l7vev60e,"[""https://down-id.img.susercontent.com/file/id-11134207-822wg-mlcvd9l7vev60e"", ""https://down-id.img.susercontent.com/file/id-11134207-822ws-mlcvd9l7r75ufc"", ""https://down-id.img.susercontent.com/file/id-11134207-822wr-mlcvd9l7zmki50"", ""https://down-id.img.susercontent.com/file/id-11134207-822wr-mlcvd9l7y80215"", ""https://down-id.img.susercontent.com/file/id-11134207-822wp-mlcvd9l8114y85""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1646720476,176000,176000,176000,,0,,,,,,1000.0,21.0,4.845323741007194,556,"[1, 1, 12, 55, 487]",[],Mooi Pure Glow,2937947.0,100630,"[100630, 100664, 100896]",535,,"[""""]"
Shopee,,id,2026-07-01,430940247,mooiglowserum,Mooi Pure Glow Official Shop,KAB. GRESIK,40169667114,MOOI bundling MOOIST + Tone Up Booster + Serum,https://shopee.co.id/product/430940247/40169667114,https://down-id.img.susercontent.com/file/id-11134207-822wj-mnxn4vnbybydc9,"[""https://down-id.img.susercontent.com/file/id-11134207-822wj-mnxn4vnbybydc9"", ""https://down-id.img.susercontent.com/file/id-11134207-8224w-mgg6gjn755vv1b"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztc-mesbrkvq13wga9"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztf-mesbrkvq2igwf6"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztg-mesbrkvq3x1cc4""]","[""OFFICIAL_SHOP""]","[""id-11134258-7r98z-lykpu80ygbvs76""]",FSS+PromoXtra+SPayLater_NEW,id-11134258-822wl-mlx99kiyj4lg66,False,False,False,1758182728,116700,189000,116700,38,885439595086848,,,,,,34.0,6.0,4.785714285714286,14,"[0, 0, 1, 1, 12]","[""Pilih Lokal""]",Mooi Pure Glow,2937947.0,100630,"[100630, 100665]",139,,"[""""]"
