"country_code","shop_id","item_id","date","price","price_original","price_before_promo","promotion_id","promotion_type","voucher_code","voucher_discount","voucher_start_time","voucher_end_time","voucher_min_spend"
id,"1112776376","42657274673",2026-07-02,38901,70000,38901,"476082533064730",301,"","",,,""
id,"1112776376","28360413045",2026-07-02,38901,70000,38901,"476082533064730",301,"","",,,""
id,"1112776376","25190984781",2026-07-02,31900,68000,31900,"280770950463488",311,"","",,,""
id,"1112776376","46456356622",2026-07-02,63800,138500,63800,"476082533064730",301,"","",,,""
id,"1112776376","23763960215",2026-07-02,38800,76000,38800,"476082533064730",301,"","",,,""
id,"1112776376","56552128292",2026-07-02,38800,76000,38800,"476082533064730",301,"","",,,""
id,"1112776376","41357286968",2026-07-02,39800,77600,39800,"476082533064730",301,"","",,,""
id,"1112776376","49510914017",2026-07-02,38900,79000,38900,"476082533064730",301,"","",,,""
id,"1112776376","45953007208",2026-07-02,38800,76000,38800,"476082533064730",301,"","",,,""
id,"1112776376","51300784899",2026-07-02,141500,275000,141500,"476082533064730",301,"","",,,""
id,"1112776376","44357287683",2026-07-02,88830,187000,91578,"476082533064730",301,"","",,,""
id,"1112776376","41126782175",2026-07-02,124500,271500,127500,"476082533064730",301,"","",,,""
id,"1112776376","50052128213",2026-07-02,38800,76000,38800,"476082533064730",301,"","",,,""
id,"1112776376","57153552258",2026-07-02,131500,298050,134500,"476082533064730",301,"","",,,""
id,"1112776376","27160418327",2026-07-02,71800,140000,71800,"476082533064730",301,"","",,,""
id,"1112776376","54410896800",2026-07-02,109700,248000,112700,"476082533064730",301,"","",,,""
id,"1112776376","45603015792",2026-07-02,38800,76000,38800,"476082533064730",301,"","",,,""
id,"1112776376","49150942512",2026-07-02,99700,189000,102700,"476082533064730",301,"","",,,""
id,"1112776376","51202128731",2026-07-02,91762,201500,94600,"476082533064730",301,"","",,,""
id,"1112776376","26962670206",2026-07-02,73720,76000,76000,"0",0,"","",,,""
id,"1112776376","43350865998",2026-07-02,79900,175780,79900,"476082533064730",301,"","",,,""
id,"1112776376","46406352766",2026-07-02,112600,244080,112600,"476082533064730",301,"","",,,""
id,"1112776376","41431071722",2026-07-02,109700,248000,112700,"476082533064730",301,"","",,,""
id,"1112776376","43050856028",2026-07-02,37900,96580,37900,"476407239303767",201,"","",,,""
id,"1112776376","43678841200",2026-07-02,26900,71500,26900,"476407239303767",201,"","",,,""
id,"1112776376","42807278779",2026-07-02,43900,96580,43900,"476082533064730",301,"","",,,""
