"country_code","shop_id","item_id","date","location","product_name","url","image_url","images","seller_flag","image_overlay","is_ad","is_sold_out","ctime","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","rating","rating_count","rating_count_detail","vouchers","brand_id","shopee_category_id","global_category_id","liked_count","tier_variation_name","tier_variation_options","created_at","updated_at"
vn,"1546895026","51351130220",2026-07-02,Thành phố Hồ Chí Minh,[Quà tặng không bán] Kẹo sing-gum không đường Doublemint Refreshers hương bạc hà hũ 40g,https://shopee.vn/product/1546895026/51351130220,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2fi80d9d,"[""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2fi80d9d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat245gr325"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2b4weme8"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2mkgsq4a""]","[""OFFICIAL_SHOP""]","30VCX[26.6-9.7.2026]",false,false,2025-11-11 02:24:55.000 +0700,805100,1000000,1000000,19,300,300,0.00,0,"[0, 0, 0, 0, 0]",[],"1070570","100629","[100629, 100646, 100785]",0,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"1546895026","42506217538",2026-07-02,Thành phố Hồ Chí Minh,[Quà tặng không bán] Gói kẹo Skittles Gummies 42.5g (vị ngẫu nhiên),https://shopee.vn/product/1546895026/42506217538,https://down-vn.img.susercontent.com/file/vn-11134275-7ras8-mbgb0dz98l6s51,"[""https://down-vn.img.susercontent.com/file/vn-11134275-7ras8-mbgb0dz98l6s51"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmxkky4d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmw60i46"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmyz5e01""]","[""OFFICIAL_SHOP""]","30VCX[26.6-9.7.2026]",false,false,2025-06-26 13:18:28.000 +0700,805100,1000000,1000000,19,1000,624,4.93,169,"[2, 0, 1, 2, 164]",[],"1079276","100629","[100629, 100646, 100785]",2,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"438905996","57260349532",2026-07-02,Thành phố Hồ Chí Minh,"[TẶNG QUẠT ĐƠN 180K]  COMBO ĂN VẶT: Kenju rau củ, kenju tôm, yến mạch phô mai 220g, ym sữa 250g",https://shopee.vn/product/438905996/57260349532,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq4ijsi6bk0286,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq4ijsi6bk0286"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56ggdlhjwj7f"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56ggdup1xhe6""]","[""PREFERRED""]","30VCX[26.6-9.7.2026]",false,false,2026-05-12 15:39:25.000 +0700,154800,190000,190000,19,,,0.00,0,"[0, 0, 0, 0, 0]","[""Mua để nhận quà""]","1133235","100629","[100629, 100646, 100787]",0,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"438905996","53210360524",2026-07-03,Thành phố Hồ Chí Minh,"[TẶNG QUÀ ĐƠN TỪ 129K] COMBO 4 TÚI: Kenju kem dẻo 186g, kenju 2 lớp, ym phô mai 220g, ym sữa 250g",https://shopee.vn/product/438905996/53210360524,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1p1hce0bgh89,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1p1hce0bgh89"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo58tkeb7xfm58"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56ggdup1xhe6"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mnjpze683k0312"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56i87cs1s5f1""]","[""PREFERRED""]","30VCX[26.6-9.7.2026]",false,false,2026-05-12 16:23:13.000 +0700,178640,230000,220000,22,,,0.00,0,"[0, 0, 0, 0, 0]","[""Mua để nhận quà""]","1133235","100629","[100629, 100646, 100787]",0,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"438905996","28488287544",2026-07-03,Thành phố Hồ Chí Minh,"[Tặng quà đơn từ 129k] Combo Bánh Tươi các vị, Bánh Karo chà bông, Karo Gấu phô mai, Bánh mì hoa cúc, HSD 35-45ngày",https://shopee.vn/product/438905996/28488287544,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1qpvslvu9ue8,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1qpvslvu9ue8"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbix82dq33bbf9"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbix87gun41w4c"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbix0pn3i1v829"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbix0r1lrecgcb"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbm5jpsxs3gn7d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbm5spr1q0jocf""]","[""PREFERRED""]","30VCX[26.6-9.7.2026]",false,false,2025-07-03 09:53:15.000 +0700,134100,199000,149000,33,18,4,5.00,5,"[0, 0, 0, 0, 5]","[""Mua để nhận quà""]","1133235","100629","[100629, 100654, 100856]",10,Combo,"[""4 Bịch mix vị"", ""5 Bịch mix vị""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"438905996","25344436117",2026-07-03,Thành phố Hồ Chí Minh,"[Tặng quà đơn từ 129k]Combo 5 bánh mix vị, Bánh mì hoa cúc ngàn lớp Fes'ta, Bánh Karo Gấu phô mai 8 bánh/bịch, HSD 35-",https://shopee.vn/product/438905996/25344436117,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1qpvslvu9ue8,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1qpvslvu9ue8"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmh7xzpr982098"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8wr871soc4ubc"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8wquevqrc02c0"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8wr7ci7dgg744"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8e9hbij2a9uc4"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8e9hdei9e8412"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8wr7hurjo1z62""]","[""PREFERRED""]","30VCX[26.6-9.7.2026]",false,false,2025-04-23 09:29:12.000 +0700,126000,199000,140000,37,64,8,4.92,12,"[0, 0, 0, 1, 11]","[""Mua để nhận quà""]","1133235","100629","[100629, 100654, 100856]",23,Combo,"[""2 hoa cúc, 2 gấu"", ""4 bánh mix"", ""5 karo mix vị""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"1546895026","51503929626",2026-07-03,Thành phố Hồ Chí Minh,[Quà tặng không bán] Hộp Kẹo Socola Snickers 240g (12 thanh x 20g),https://shopee.vn/product/1546895026/51503929626,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mivfizs6uccmab,"[""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mivfizs6uccmab"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mivfizsaz8jpde"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mivfizsdwl5000"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mivfizsd1on514""]","[""OFFICIAL_SHOP""]","30VCX[26.6-9.7.2026]",false,false,2025-12-30 16:35:34.000 +0700,805100,1000000,1000000,19,8000,7000,4.93,168,"[0, 2, 3, 0, 163]",[],"1079441","100629","[100629, 100646, 100786]",3,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"1546895026","48207825412",2026-07-03,Thành phố Hồ Chí Minh,[Quà tặng không bán] Gói Kẹo Sôcôla M&M's Crispy Siêu Giòn 30g,https://shopee.vn/product/1546895026/48207825412,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmbjlgjtfz0l9d,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmbjlgjtfz0l9d""]","[""OFFICIAL_SHOP""]","30VCX[26.6-9.7.2026]",false,false,2026-03-27 15:34:23.000 +0700,805100,1000000,1000000,19,2000,1000,4.98,205,"[0, 1, 0, 1, 203]",[],"1801957","100629","[100629, 100646, 100786]",3,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
id,"1112776376","40057172138",2026-07-03,KOTA TANGERANG,[Live] SCORA Bright Me Up Sunscreen 40 Gr + SCORA Sheer Glow Tone Up Cream 30 mL,https://shopee.co.id/product/1112776376/40057172138,https://down-id.img.susercontent.com/file/id-11134207-822wl-mlegg7fezdag98,"[""https://down-id.img.susercontent.com/file/id-11134207-822wl-mlegg7fezdag98"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mb5228bwunxwd5"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mb52xr4448pw74"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mbbypng168ihdf"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mbbypng17n2xa7""]","[""OFFICIAL_SHOP""]",FSS+Promo_Xtra+Pilih_Lokal_New,false,false,2025-07-03 13:39:00.000 +0700,74800,163680,74800,54,10000,1000,4.90,4218,"[9, 2, 48, 300, 3859]","[""Pilih Lokal""]","4114566","100630","[100630, 100664, 100901]",1596,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
id,"1379527329","24987588378",2026-07-03,KOTA JAKARTA TIMUR,[Masker Rekomendasi Sandrina]  ZOICY Masker Mencerah Wajah 1pcs - Glowing Essence Sheet Mask | Masker Mencerahkan Kulit | Hyaluronic Acid Melembapkan | Mengencangkan | Menutrisi | Menenangkan | Niacinamide l Salicylic Acid | Witch Hazel |Centella,https://shopee.co.id/product/1379527329/24987588378,https://down-id.img.susercontent.com/file/id-11134207-8224w-mjqdytttcglh9d,"[""https://down-id.img.susercontent.com/file/id-11134207-8224w-mjqdytttcglh9d"", ""https://down-id.img.susercontent.com/file/id-11134207-82250-mh92azap7a4p51"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mbca2uotpbfid5"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mbca2uojsj6ma3"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mbca2uojtxr2ee"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0h-mbca2uotl3q6a3"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0i-mbca2uotmiam8d"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mbca2uojr4m6b3"", ""https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mbcbzh0wjrfdb9""]","[""OFFICIAL_SHOP""]",FSS_New,false,false,2024-10-25 15:11:28.000 +0700,8000,38000,15000,79,1000,,4.87,195,"[1, 0, 2, 17, 175]",[],"4851893","100630","[100630, 100664, 100898]",765,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
id,"200048291","41850023652",2026-07-03,KOTA BEKASI,Prettywell Mini Travel KIT - Exfoliasi dan melembakan kulit untuk pemula,https://shopee.co.id/product/200048291/41850023652,https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mcj17hbe7ju72e,"[""https://down-id.img.susercontent.com/file/id-11134207-7ra0p-mcj17hbe7ju72e"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m9gzvmmc35elcf"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m9gzvmmc4jz1dd"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9gzvmmc5yjh7e"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk4-m9h26nfg0jyad4"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m9h26nfg1yiq91"", ""https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m9h26nfg3d3661""]","[""OFFICIAL_SHOP""]",FSS+Promo_Xtra,false,false,2025-05-07 14:58:01.000 +0700,97334,97334,97334,,36,1,5.00,12,"[0, 0, 0, 0, 12]",[],"1624955","100630","[100630, 100665]",22,"","[""""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
id,"200048291","23628781470",2026-07-03,KOTA BEKASI,Prettywell Multitalented Hyalu Peptide Creamy Toner Wajah Menenangkan Kulit Menghidrasi Kulit Calming Essence Toner Soothing,https://shopee.co.id/product/200048291/23628781470,https://down-id.img.susercontent.com/file/id-11134207-81ztl-me443l40brib24,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztl-me443l40brib24"", ""https://down-id.img.susercontent.com/file/id-11134207-7ras8-m0wrt7remsanf7"", ""https://down-id.img.susercontent.com/file/id-11134207-7rasf-m0wrt7replfj12"", ""https://down-id.img.susercontent.com/file/id-11134207-7rash-m0wrt7reo6v355"", ""https://down-id.img.susercontent.com/file/id-11134207-7rasm-m0wrxdwelyot35""]","[""OFFICIAL_SHOP""]",FSS+Promo_Xtra+Pilih_Lokal_New,false,false,2023-03-02 15:30:36.000 +0700,70150,70150,70150,,2000,17,4.93,836,"[0, 1, 4, 44, 787]","[""Pilih Lokal""]","1624955","100630","[100630, 100664, 100892]",3020,Expired,"[""Normal""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
vn,"108166524","47303008009",2026-07-04,Thành phố Hồ Chí Minh,[TẶNG BÌNH GIỮ NHIỆT] Combo 3 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ SỮA ĐÁ 25 gói Nhân đôi sánh quyện,https://shopee.vn/product/108166524/47303008009,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq7inmb83z0s30,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq7inmb83z0s30"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5py5e72lfn1b"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5q1j2lbcar5d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5q1lllcbuuaa"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5q1nkkmd50e3"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5q1pi20k5g2f"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5q1rvd493537"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mi5p5lpdshdwb4""]","[""FBS_LOGO"", ""OFFICIAL_SHOP""]","30VCX[26.6-9.7.2026]",false,false,2025-12-12 16:19:31.000 +0700,341040,525000,406000,35,10000,10000,4.93,318,"[2, 0, 3, 7, 306]",[],"1802055","100629","[100629, 100651, 100824]",82,Hàng,"[""Combo""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
id,"809769142","45513324574",2026-07-05,KAB. TANGERANG,[KHUSUS MEMBER]GLAD2GLOW Tremella Vita B5 Sensitive Calming Moisturizer,https://shopee.co.id/product/809769142/45513324574,https://down-id.img.susercontent.com/file/id-11134207-81ztd-mq7aq7lzvsb066,"[""https://down-id.img.susercontent.com/file/id-11134207-81ztd-mq7aq7lzvsb066"", ""https://down-id.img.susercontent.com/file/id-11134207-81ztq-mq7aq7m01ekv5a"", ""https://down-id.img.susercontent.com/file/id-11134207-81zto-mq7aq7m1zmyz23""]","[""OFFICIAL_SHOP""]",FSS+Promo_Xtra,false,false,2026-07-03 13:36:23.000 +0700,109000,109000,109000,,,,0.00,0,"[0, 0, 0, 0, 0]","[""Produk Baru""]","3138611","100630","[100630, 100664, 100893]",3,SENSITIVE,"[""1pcs""]",2026-07-22 17:23:49.200 +0700,2026-07-22 17:23:48.290 +0700
