"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
vn,"1546895026","51351130220",2026-07-02,805100,1000000,1000000,19,300,300,0,0.00,0,0
vn,"1546895026","42506217538",2026-07-02,805100,1000000,1000000,19,1000,624,2,4.93,169,0
vn,"438905996","57260349532",2026-07-02,154800,190000,190000,19,,,0,0.00,0,0
vn,"438905996","53210360524",2026-07-03,178640,230000,220000,22,,,0,0.00,0,0
vn,"438905996","28488287544",2026-07-03,134100,199000,149000,33,18,4,10,5.00,5,0
vn,"438905996","25344436117",2026-07-03,126000,199000,140000,37,64,8,23,4.92,12,0
vn,"1546895026","51503929626",2026-07-03,805100,1000000,1000000,19,8000,7000,3,4.93,168,0
vn,"1546895026","48207825412",2026-07-03,805100,1000000,1000000,19,2000,1000,3,4.98,205,0
id,"1112776376","40057172138",2026-07-03,74800,163680,74800,54,10000,1000,1596,4.90,4218,0
id,"1379527329","24987588378",2026-07-03,8000,38000,15000,79,1000,,765,4.87,195,0
id,"200048291","41850023652",2026-07-03,97334,97334,97334,,36,1,22,5.00,12,0
id,"200048291","23628781470",2026-07-03,70150,70150,70150,,2000,17,3020,4.93,836,0
vn,"108166524","47303008009",2026-07-04,341040,525000,406000,35,10000,10000,82,4.93,318,0
id,"809769142","45513324574",2026-07-05,109000,109000,109000,,,,3,0.00,0,0
id,"809769142","56110143731",2026-07-05,199000,199000,199000,,53,26,9,5.00,15,0
vn,"213989179","47262565646",2026-07-05,880000,1000000,1000000,12,42,42,0,5.00,1,0
vn,"213989179","42881034712",2026-07-05,20000,20000,20000,,527,367,5,4.98,101,0
vn,"213989179","3282055804",2026-07-05,46511,48958,46511,5,1000,64,417,4.79,303,0
vn,"108166524","41631193430",2026-07-05,501600,570000,570000,12,10000,10000,107,4.92,394,0
vn,"1145316676","40072569026",2026-07-06,368000,500000,500000,26,3000,1000,8,4.90,353,0
vn,"1145316676","27431582371",2026-07-06,386400,500000,500000,23,1000,9,3,4.95,306,0
